configuration	io_mode	dataset	read_mode	status	expected	actual	log
single_system	has1	ERR1203383	PE	PASS	dc5c0a6babd41641db22808caedb7a44	dc5c0a6babd41641db22808caedb7a44	bigdata_results/single_system/has1/ERR1203383_PE.run.log
single_system	has1	ERR1203383	SE	PASS	ecf7f98b8d9354dfde7b962fa8d2c0b7	ecf7f98b8d9354dfde7b962fa8d2c0b7	bigdata_results/single_system/has1/ERR1203383_SE.run.log
single_system	has1	small_SRR7963242	PE	PASS	215c1ee5deddbef3647d94b90e841834	215c1ee5deddbef3647d94b90e841834	bigdata_results/single_system/has1/small_SRR7963242_PE.run.log
single_system	has1	small_SRR7963242	SE	PASS	b2ea694f6a08a3424dece15f1b8e8114	b2ea694f6a08a3424dece15f1b8e8114	bigdata_results/single_system/has1/small_SRR7963242_SE.run.log
single_system	has1	SRR2496709	PE	PASS	b318cf90a083eafc9aa4c461bf023f90	b318cf90a083eafc9aa4c461bf023f90	bigdata_results/single_system/has1/SRR2496709_PE.run.log
single_system	has1	SRR2496709	SE	PASS	322fe0c60d0ca365389307c06a21d77a	322fe0c60d0ca365389307c06a21d77a	bigdata_results/single_system/has1/SRR2496709_SE.run.log
single_system	no1	ERR1203383	PE	PASS	dc5c0a6babd41641db22808caedb7a44	dc5c0a6babd41641db22808caedb7a44	bigdata_results/single_system/no1/ERR1203383_PE.run.log
single_system	no1	ERR1203383	SE	PASS	ecf7f98b8d9354dfde7b962fa8d2c0b7	ecf7f98b8d9354dfde7b962fa8d2c0b7	bigdata_results/single_system/no1/ERR1203383_SE.run.log
single_system	no1	small_SRR7963242	PE	PASS	215c1ee5deddbef3647d94b90e841834	215c1ee5deddbef3647d94b90e841834	bigdata_results/single_system/no1/small_SRR7963242_PE.run.log
single_system	no1	small_SRR7963242	SE	PASS	b2ea694f6a08a3424dece15f1b8e8114	b2ea694f6a08a3424dece15f1b8e8114	bigdata_results/single_system/no1/small_SRR7963242_SE.run.log
single_system	no1	SRR2496709	PE	PASS	b318cf90a083eafc9aa4c461bf023f90	b318cf90a083eafc9aa4c461bf023f90	bigdata_results/single_system/no1/SRR2496709_PE.run.log
single_system	no1	SRR2496709	SE	PASS	322fe0c60d0ca365389307c06a21d77a	322fe0c60d0ca365389307c06a21d77a	bigdata_results/single_system/no1/SRR2496709_SE.run.log
